totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
108	8	100	0		EXS	Libyan Arab Airlines Flight 114	Boeing 727-224	egsiWestern Sinai Peninsula, Israel	ENR [227]			2/21/1973
107	11	96	0	†	COM	Pan Am Flight 812	Boeing 707-321B	indonba area of Negara, Bali, Indonesia	APR [229]	DPS	68 km (42 mi)	4/22/1974
107	8	99	0	†	COM	Aeroflot Flight 2230	Ilyushin Il-18V	ruarAramil, Russia	ICL [230]	SVX	2.9 km (1.8 mi)	11/16/1967
107	11	96	0	†	COM	Flying Tiger Line Flight 739	Lockheed L-1049H Super Constellation	pacPacific Ocean	ENR [231]			3/16/1962
107	6	101	0	†	INB	Avianca Flight 203	Boeing 727-21	colbBogotá, Colombia	ENR [228]			11/27/1989
106	7	99	0	†	COM	Royal Air Maroc Caravelle (OO-SRD)	Sud Aviation SE-210 Caravelle VIN	moteMt. Mellalyene, Tétouan, Morocco	ENR [233]			12/22/1973
106	10	84	12	†	MIL	Iranian Air Force (5-8519)	Lockheed C-130E Hercules	iratTehran, Iran	APR [232]	THR	c. 5.5 km (3.4 mi)	12/6/2005
104	8	96	0	†	COM	Kam Air Flight 904	Boeing 737-242	afcChaperi Ghar Mtn., Pamir Mts., Afghanistan	ENR [234]			2/3/2005
104	5	99	0	†	COM	Cebu Pacific Air Flight 387	McDonnell Douglas DC-9-32	phmbMount Balatukan, Philippines	ENR [235]			2/2/1998
104	7	97	0	†	COM	SilkAir Flight 185	Boeing 737-36N	indonmuMusi River, Indonesia	ENR [236][237]			12/19/1997
104	6	98	0	†	COM	Iberia Airlines Flight 602	Sud Aviation SE 210 Caravelle	spiIbiza, Spain	APR [238]	IBZ	c. 15 km (9.3 mi)	1/7/1972
104	6	11	87	†	COM	Middle East Airlines Flight 265 and Turkish Air Force (CBK-28)	Vickers Viscount 754D and Douglas C-47	tuaAnkara, Turkey	STD [239]	ESB	c. 20 km (12.4 mi)	2/1/1963
103	11	92	0	1*	COM	Afriqiyah Airways Flight 771	Airbus A330-202	libytTripoli, Libya	APR [240]	TIP	c. 0.9 km (0.56 mi)	5/12/2010
102	6	96	0	†	COM	Adam Air Flight 574[nb 10]	Boeing 737-4Q8	indonmakMakassar Strait, Indonesia	ENR [241][242]			1/1/2007
102	6	96	0	1*	COM	Air Algérie Flight 6289	Boeing 737-2T4	altTamanrasset, Algeria	ICL [243]	TMR	1.6 km (1 mi)	3/6/2003
102	5	97	0	†	COM	Dominicana de Aviación (HI-177)	McDonnell Douglas DC-9-32	dosCaribbean, off Santo Domingo, Dominican Republic	ICL [244]	SDQ	3 km (1.9 mi)	2/15/1970
101	11	90	0		COM	Thai Airways Flight 261	Airbus A310-300	thsSurat Thani, Thailand	APR [245]	URT	c. 4 km (2.5 mi)	12/11/1998
101	7	94	0		COM	Eastern Air Lines Flight 401	Lockheed L-1011-385-1 TriStar 1	usfleEverglades, near Tamiami, Florida, US	APR [246][247]	MIA	33.6 km (20.9 mi)	12/29/1972
101	9	92	0	†	COM	Aeroflot Flight 558	Ilyushin Il-18V	ruspanear Spassky, Verkhneuralsky District, Russia	ENR [248]			8/31/1972
101	6	95	0	†	COM	Northwest Airlines Flight 293	Douglas DC-7CF	pacuPacific Ocean, area of Annette Island, Alaska, US	ENR [250][251]			6/3/1963
101	7	92	2	1*	COM	LANSA Flight 502	Lockheed L-188 Electra	pecuCusco, Peru	ICL [249]	CUZ	c. 4 km (2.5 mi)	8/9/1970
100	7	93	0		COM	United Arab Airlines (SU-APC)	Ilyushin Il-18D	egaAswan, Egypt	LDG [253]	ASW		3/20/1969
100	7	93	0	†	INH	Malaysian Airline System Flight 653	Boeing 737-2H6	malanear Tanjung Kupang, Malaysia	ENR [252]			12/4/1977
99	4	95	0		COM	Aeroflot Flight 3603	Tupolev Tu-154B-2	runornear Norilsk, Russia	APR [257]	NSK	0.47 km (0.3 mi)	11/16/1981
99	8	91	0	†	COM	KLM Flight 607E	Lockheed L-1049	atisAtlantic Ocean, area of Shannon, Ireland	ENR [258]			8/14/1958
99	6	89	4	†	COM	TAM Airlines Flight 402	Fokker 100	brsaopSão Paulo, Brazil	ICL [255][256]	CGH	1.5 km (0.9 mi)	10/31/1996
99	0	0	2		MIL	Indonesian Air Force (A-1325)	Lockheed C-130H Hercules	indonmadnear Madiun, Indonesia	APR [254]	WIHH	9 km (5.6 mi)	5/20/2009
98	8	90	0	†	COM	Khabarovsk United Air Flight 3949	Tupolev Tu-154B	rugrarea of Grossevichi, Khabarovsk Krai, Russia	ENR [259]			12/6/1995
98	6	92	0		COM	Britannia Airways Flight 105	Bristol 175 Britannia 102	slkKomenda, Slovenia	APR [262]	LJU	3 km (1.9 mi)	9/1/1966
98	6	92	0		MIL	Royal Saudi Air Force (469)	Lockheed C-130H Hercules	saknear Khafji, Saudi Arabia	APR [260]	OERM	unknown	3/21/1991
98	6	92	0	†	MIL	Indian Air Force Flight 203	Antonov An-12BP	indirRohtang Pass, India	ENR [261]			2/7/1968
97	10	87	0		COM	Pan Am Flight 806	Boeing 707-321B	amPago Pago, American Samoa	APR [263]	PPG	1.2 km (0.75 mi)	1/30/1974
97	4	93	0		COM	Aeroflot Flight 1912	Tupolev Tu-104B	ruirIrkutsk, Russia	APR [264]	IKT	0.15 km (0.09 mi)	7/25/1971
97	17	80	0	†	COM	Varig Flight 810	Boeing 707-441	pesLa Cruz peak, San Juan de Miraflores, Peru	APR [265]	LIM	c. 25 km (16 mi)	11/27/1962
96	4	92	0		COM	ADC Airlines Flight 53	Boeing 737-2B7	nigeriabAbuja, Nigeria	ICL [268]	ABV	c. 0.5 km (0.3 mi)	10/29/2006
96	6	90	0	†	COM	Aeroflot Flight 3843	Tupolev Tu-104A	kaaAlmaty, Kazakhstan	APR [269]	ALA	3.5 km (2.2 mi)	1/13/1977
96	8	88	0	†	MIL	Polish Air Force (101)	Tupolev Tu-154M	rusmoSmolensk, Russia	APR [266][267]	***	c. 1 km (0.6 mi)	4/10/2010
95	6	89	0	†	COM	Indian Airlines Flight 171	Sud Aviation SE-210 Caravelle VIN	indimuMumbai, India	APR [270]	BOM	0.35 km (0.2 mi)	10/12/1976
95	8	87	0	†	COM	American Airlines Flight 1	Boeing 707-123B	usnewyneJamaica Bay, New York, US	ICL [272][273]	IDL	c. 6 km (3.7 mi)	3/1/1962
95	6	89	0	†	EXG	Air France Flight 1611	Sud Aviation SE-210 Caravelle III	franiMediterranean, near Nice, France	ENR [271]			9/11/1968
94	7	87	0	†	COM	TAME Flight 120	Boeing 727-134	colcuCumbal Volcano, Colombia	APR [274]	TUA	c. 21 km (13 mi)	1/28/2002
94	12	82	0	†	COM	Aeroflot Flight 8381 and Soviet Air Force (SSSR-26492)	Tupolev Tu-134 and Antonov An-26	ukrzZolochiv, Ukraine	APR [275][276]	LWO	68 km (42 mi)	5/3/1985
94	9	85	0	†	COM	Alitalia Flight 771	McDonnell Douglas DC-8-43	indijJunnar, India	ENR [277]			7/7/1962
93	6	87	0	†	COM	Aerovias Guatemala Caravelle (HC-BAE)	Sud Aviation SE-210 Caravelle III	guatFlores, Guatemala	APR [278][279]	FRS	8 km (5 mi)	1/18/1986
93	6	87	0		COM	Iberia Flight 350 and Aviaco Flight 134	Boeing 727 and McDonnell Douglas DC-9	spmadMadrid, Spain	TXI [280][281]	MAD		12/7/1983
92	4	88	0		COM	Indian Airlines Flight 605	Airbus A320-231	indibBangalore, India	APR [282]	VOBG	0.7 km (0.43 mi)	2/14/1990
92	7	85	0	†	COM	TWA Flight 514	Boeing 727-231	usvirmMt. Weather, Virginia, US	APR [283]	DCA	40 km (25 mi)	12/1/1974
92	7	85	0		COM	Aeroflot Flight U-45	Ilyushin Il-18V	uzbBulungur District, Uzbekistan	ENR [284]			2/6/1970
91	6	85	0	1*	COM	LANSA Flight 508	Lockheed L-188 Electra	pepPuerto Inca, Peru	ENR [287]			12/24/1971
91	3	0	88	†	COM	Lloyd Aéreo Boliviano (N730JP)	Boeing 707-131F	bolsSanta Cruz, Bolivia	ICL [286]	SRZ	0.6 km (0.4 mi)	10/13/1976
91	5	86	0	†	MIL	Sudanese Air Force	Lockheed C-130H Hercules	sudjJabal Awliya, Sudan	ENR [285]			2/26/1996
90	8	82	0	†	COM	Ethiopian Airlines Flight 409	Boeing 737-8AS	lenMediterranean, off Na'ameh, Lebanon	ICL [288]	BEY	11 km (6.8 mi)	1/25/2010
90	5	85	0		COM	One-Two-GO Airlines Flight 269	McDonnell Douglas MD-82	thphPhuket, Thailand	LDG [289]	HKT		9/16/2007
90	7	83	0	†	COM	Aeroflot Flight 5463	Tupolev Tu-134A	kaanear Almaty, Kazakhstan	APR [290]	ALA	36 km (22.4 mi)	8/30/1983
90	8	82	0	†	COM	Aeroflot Flight 411	Ilyushin Il-62M	rumenMendeleyevo, Russia	ICL [291]	SVO	11.4 km (7.1 mi)	7/6/1982
90	5	85	0	†	COM	Olympic Airways Flight 954	Douglas DC-6	grekKeratea, Greece	APR [292]	***	c. 23 km (14 mi)	12/8/1969
89	8	81	0	†	MIL	Royal Saudi Air Force (453)	Lockheed C-130E Hercules	samMedina, Saudi Arabia	ICL [293]	MED	c. 1 km (0.6 mi)	9/14/1980
88	6	82	0	†	COM	Aeroflot-Nord Flight 821	Boeing 737-505	ruperPerm, Russia	APR [294]	PEE	11.5 km (7.1 mi)	9/14/2008
88	5	83	0	†	COM	Alaska Airlines Flight 261	McDonnell Douglas MD-83	uscaaPacific Ocean, off Anacapa Island, California, US	ENR [295][296]			1/31/2000
88	6	82	0	1*	COM	Delta Air Lines Flight 723	McDonnell Douglas DC-9-31	usmamasBoston, Massachusetts, US	APR [298][299]	BOS	1 km (0.6 mi)	7/31/1973
88	5	83	0	†	COM	Air Ferry C-54 (G-APYK)	Douglas C-54 Skymaster	framocMont Canigou, France	ENR [300]			6/3/1967
88	9	79	0	†	INB	Trans World Airlines Flight 841 (1974)	Boeing 707-331B	grecMediterranean, area of Cephalonia, Greece	ENR [297]			9/8/1974
87	5	82	0		COM	Air Inter Flight 148	Airbus A320-111	frabBarr, France	APR [301]	SXB	19.5 km (12.1 mi)	1/20/1992
87	10	77	0	†	COM	LOT Polish Airlines Flight 007	Ilyushin Il-62	polwWarsaw, Poland	APR [302]	WAW	0.86 km (0.52 mi)	3/14/1980
87	11	76	0	†	COM	Nigeria Airways Flight 825	Vickers VC-10	nigerilLagos, Nigeria	APR [303]	LOS	13 km (8.1 mi)	11/20/1969
87	7	80	0	†	COM	LAN Chile Flight 107	Douglas DC-6	chilSan José Volcano, Chile	ENR [304]			2/6/1965
87	9	78	0		COM	Aeroflot Flight 721	Ilyushin Il-18V	ruyuznear Yuzhno Sakhalinsk, Russia	APR [305]	UUS	26 km (16.3 mi)	9/2/1964
87	5	82	0		MIL	US Air Force (50-0100)	Douglas C-124A Globemaster II	uswasmMoses Lake, Washington, US	ICL [306]	LRN	4 km (2.5 mi)	12/20/1952
86	7	79	0	†	COM	Aeroflot Flight 03	Tupolev Tu-104A	ruyelnear Yelabuga, Tatarstan, Russia	ENR [309]			9/3/1962
86	6	79	1	†	COM	Aviaco Flight 118	Sud Aviation SE 210 Caravelle 10R	spacA Coruña, Spain	APR [308]	LCG	11 km (6.8 mi)	8/13/1973
86	0	0	0	†	MIL	Iranian Air Force	Lockheed C-130 Hercules	iramnear Mashad, Iran	ENR [307]			3/13/1997
85	6	79	0	1*	COM	Tajikistan Airlines Flight 3183	Tupolev Tu-154B-1	unasSharjah, United Arab Emirates	APR [310]	SHJ	13 km (8.1 mi)	12/15/1997
85	5	80	0	†	COM	Braniff Flight 352	Lockheed L-188A Electra	ustexdawDawson, Texas, US	ENR [312][313]			5/3/1968
85	4	81	0	†	COM	Paradise Airlines Flight 901A	Lockheed L-049 Constellation	usnevgGenoa, Nevada, US	ENR [315]			3/1/1964
85	10	72	3		COM	Japan Airlines Flight 471	Douglas DC-8-53	indinnear New Delhi, India	APR [311]	DEL	c. 20 km (12 mi)	6/14/1972
85	4	81	0	†	MIL	US Air Force (56-4376)	Fairchild C-123B-18-FA Provider	vitnear Tuy Hòa, Vietnam	ENR [314]			12/11/1965
84	7	77	0	†	COM	Aeroflot Flight 2808	Tupolev Tu-134A	ruandAndreevo, Ivanovo Oblast, Russia	APR [316]	IWA	3 km (1.9 mi)	8/27/1992
84	5	79	0	†	COM	Eastern Air Lines Flight 663	Douglas DC-7B	usnewyjoAtlantic Ocean, off Jones Beach, New York, US	ENR [318][319]			2/8/1965
84	8	76	0	†	EXG	Aeroflot Flight 902	Tupolev Tu-104A	ruvoznear Voznesenka, Krasnoyarsk Krai, Russia	ENR [320]			6/30/1962
84	12	72	0	†	MIL	US Air Force (60-0373)	Boeing C-135 Stratolifter	uscastSantiago Canyon, California, US	ENR [317]			6/25/1965
83	4	79	0		COM	Singapore Airlines Flight 006	Boeing 747-412	chintdDayuan District, Taiwan	TOF [321]	TPE		10/31/2000
83	4	79	0		COM	Palair Macedonian Airlines Flight 301	Fokker 100	reppPetrovec, Republic of Macedonia	ICL [323]	SKP	0.38 km (0.24 mi)	3/5/1993
83	9	74	0	†	COM	Thai Airways Flight 365	Boeing 737-2P5	thphPhuket, Thailand	APR [325]	HKT	15 km (9.3 mi)	8/31/1987
83	5	78	0	†	COM	Allegheny Airlines Flight 853 and Private aircraft (N7374J)	McDonnell Douglas DC-9-30 and Piper PA-28 Cherokee	usininfFairland, Indiana, US	ENR [326][327]			9/9/1969
83	9	74	0	1*	COM	Aeroflot Flight 15	Ilyushin Il-18D	ruparParchum, Chunsky District, Russia	ENR [328]			2/29/1968
83	5	78	0		COM	American Flyers Flight 280	Lockheed L-188 Electra	usoklArdmore, Oklahoma, US	APR [329]	ADM	2.4 km (1.5 mi)	4/22/1966
83	8	75	0	†	COM	British Eagle International Airlines Flight 802	Bristol 175 Britannia 312	auGlungezer mountain, Austria	ENR [330]			2/29/1964
83	6	77	0	†	COM	President Airlines (N90773)	Douglas DC-6B	ireshShannon, Ireland	ICL [331]	SNN	1.5 km (0.9 mi)	9/10/1961
83	11	72	0	†	MIL	Russian Air Force (RA-74295)	Ilyushin Il-18D	geoZundagi, Adjara, Georgia	APR [322]	BUS	18 km (11.3 mi)	10/25/2000
83	5	78	0	†	MIL	Afghanistan Air Force	Antonov An-12	afshnear Shindand, Afghanistan	ICL [324]	OAH		8/10/1990
82	5	77	0		COM	Tajikistan Airlines (87995)	Yakovlev Yak-40	takhoKhorog, Tajikistan	TOF [332]	UTOD	0.2 km (0.12 mi)	8/28/1993
82	6	76	0	†	COM	Piedmont Airlines Flight 22 and Private aircraft (N31215S)	Boeing 727-22 and Cessna 310	usnornohHendersonville, North Carolina, US	ENR [336]			7/19/1967
82	8	74	0	†	COM	TABSO Flight 101	Ilyushin Il-18B	slbBratislava, Slovakia	ENR [337]			11/24/1966
82	7	60	15	†	COM	Aeroméxico Flight 498 and Private aircraft (N4891F)	McDonnell Douglas DC-9-32 and Piper PA-28-181 Archer	uscacCerritos, California, US	APR [333][334]	LAX	c. 33 km (21 mi)	8/31/1986
82	8	74	0	†	INH	Aeroflot Flight 109	Tupolev Tu-104B	ruchiArea of Chita, Russia	ENR [335]			5/19/1973
81	8	73	0	†	COM	Pan Am Flight 214	Boeing 707-121	usmamaeElkton, Maryland, US	APR [343][344]	PHL	55 km (34 mi)	12/8/1963
81	7	74	0	†	COM	Aeroflot Flight 415	Antonov An-10A	abkKholodnaia Rechka, Gagra, Abkhazia	APR [345]	AER	21 km (13.1 mi)	7/28/1962
81	4	77	0	†	EXS	Aerolinee Itavia Flight 870	McDonnell Douglas DC-9-15	ituTyrrhenian Sea, near Ustica, Italy	ENR [338][339] [nb 11]			6/27/1980
81	15	66	0	†	INB	Middle East Airlines Flight 438	Boeing 720-023B	saasAs Sufayri, Hafar Al-Batin, Saudi Arabia	ENR [341]			1/1/1976
81	10	71	0	†	INB	Cathay Pacific Airways Flight 700Z	Convair 880-22M-21	viplarea of Pleiku, Vietnam	ENR [342]			6/15/1972
80	4	76	0		COM	Air Mauritanie Flight 625	Fokker F28 Fellowship 4000	mauTidjikja, Mauritania	LDG [348]	TIY		7/1/1994
80	4	76	0	†	COM	Fuerza Aérea Colombiana (FAC-902)	Douglas DC-6B	collnear Leticia, Colombia	ENR [349]			7/24/1985
80	7	73	0	†	COM	Union de Transportes Aériens (F-BHMS)	Douglas DC-6B	spalMt. Alcazaba, Spain	ENR [351]			10/2/1964
80	6	74	0	†	COM	Swissair Flight 306	Sud Aviation SE-210 Caravelle III	swdDürrenäsch, Switzerland	ENR [353]			9/4/1963
80	7	73	0		COM	World Airways Flight 830	Douglas DC-6A	usguub Mt. Barrigada, near Barrigada, Guam, US	ENR [354]			9/19/1960
80	9	71	0	†	COM	Aeroflot (CCCP-42362)	Tupolev Tu-104A	ruvurVurnarsky, Chuvashia, Russia	ENR [355]			10/17/1958
80	5	75	0		COM	Fairflight (G-AKBY)	Avro 689 Tudor V	unwSigingstone, Wales, UK	APR [356]	***	0.76 km (0.47 mi)	3/12/1950
80	14	56	10		COM	Cubana de Aviación Flight 389	Tupolev Tu-154M	ecqQuito, Ecuador	TOF [347]	UIO		8/29/1998
80	9	71	0	†	MIL	Moroccan Air Force (CAN-OQ)	Lockheed C-130 Hercules	mogGoulimime, Morocco	APR [346]	GLN	10 km (6.2 mi)	7/26/2011
80	0	0	0		MIL	Iranian Air Force (5-8552)	Lockheed C-130H Hercules	irakaKahrizak, Iran	ENR [350]			9/29/1981
80	5	74	1		MIL	US Air Force (61-0332)	Boeing C-135B	phaAngeles City, Philippines	APR [352]	CRK	<0.1 km (0.06 mi)	5/11/1964
79	7	72	0	†	COM	Aeroflot Flight 630	Ilyushin Il-18V	takhunear Khujand, Tajikistan	ENR [358]			2/24/1973
79	7	72	0	†	COM	Mexicana Flight 704	Boeing 727-64	mexaEl Carmen, Mexico	ENR [360]			6/4/1969
79	6	73	0	†	COM	Maritime Central Airways Flight 315	Douglas DC-4	canqiIssoudun, Quebec, Canada	ENR [361]			8/11/1957
79	3	72	4		COM	Korean Air Flight 803	McDonnell Douglas DC-10-30	libytTripoli, Libya	APR [83][357]	TIP	c. 2 km (1.2 mi)	7/27/1989
79	6	73	0	†	MIL	US Air Force (55-4574)	Fairchild C-123K	vikKhánh Phu, Khánh Hòa Province, Vietnam	ENR [359]			11/27/1970
78	3	75	0		COM	Wenela Air Services (A2-ZER)	Douglas DC-4	botFrancistown, Botswana	APR [366]	FRW	3.6 km (2.2 mi)	4/4/1974
78	10	68	0	1*	COM	Pan Am Flight 816	Boeing 707-321B	frePacific Ocean, off Papeete, Tahiti, French Polynesia	ENR [367][368]			7/22/1973
78	3	75	0		COM	Aviogenex Flight 130	Tupolev Tu-134A	croOmišalj, Croatia	LDG [369]	RJK		5/23/1971
78	5	73	0	†	COM	TWA Flight 529	Lockheed L-049 Constellation	usilihHinsdale, Illinois, US	ENR [370][371]			9/1/1961
78	4	70	4		COM	Air Florida Flight 90	Boeing 737-222	uswasdWashington, D.C., US	ICL [363][364]	DCA	1.4 km (0.9 mi)	1/13/1982
78	12	66	0	†	EXG	Siberia Airlines Flight 1812	Tupolev Tu-154M	bltBlack Sea, area of Ünye, Turkey	ENR [362]			10/4/2001
78	9	69	0	†	INB	Air France Flight 406	Lockheed L-1649A Starliner	alznear Zarzaitine, Algeria	ENR [372]			5/10/1961
78	7	70	1	†	MIL	Indian Air Force	Antonov An-12	indilLeh, India	APR [365]	IXL	0.5 km (0.3 mi)	11/19/1978
77	10	67	0		COM	Iran Air Flight 277	Boeing 727-286Adv	irauUrmia, Iran	APR [374]	OMH	8 km (5 mi)	1/9/2011
77	7	70	0	†	COM	Aeroflot Flight 5003	Ilyushin Il-18V	ruminnear Mineralnye Vody, Russia	APR [377]	MRV	<5 km (3 mi)	2/15/1977
77	6	71	0	†	COM	Air France Flight 2005	Sud Aviation SE-210 Caravelle III	morRabat, Morocco	APR [378]	RBA	9 km (5.6 mi)	9/12/1961
77	4	72	0	1*	MIL	Algerian Air Force C-130	Lockheed C-130 Hercules	aiAïn Kercha, Oum El Bouaghi Province, Algeria	ENR [373]	CZL		2/11/2014
77	9	68	0	1*	MIL	Soviet Air Force (CCCP-86732)	Ilyushin IL-76M	armGyumri, Armenia	APR [376]	LWN	15 km (9.4 mi)	12/11/1988
77	0	0	77		MIL	Sknyliv air show disaster	Sukhoi Su-27	ukrlvLviv, Ukraine	MNV [375]	LWO		7/27/2002
76	6	70	0		COM	ČSA Flight 001	Ilyushin Il-18B	slbBratislava, Slovakia	APR [380]	BTS	1.5 km (0.93 mi)	7/28/1976
76	2	74	0		COM	Imperial Airlines Flight 201/8	Lockheed L-049 Constellation	usvirrRichmond, Virginia, US	APR [382][383]	RIC	1.5 km (0.9 mi)	11/8/1961
76	0	0	0	†	MIL	Afghanistan Air Force	Antonov An-32	aftTashkurgan, Afghanistan	ENR [379]			4/27/1993
76	5	69	2	1*	MIL	Air Vietnam C-54D (XV-NUG) and US Air Force	Douglas C-54D-10-DC Skymaster and F-4 Phantom II	vidDa Nang, Vietnam	APR [381]	DAD	3 km (1.9 mi)	9/20/1969
75	13	62	0	†	COM	UM Airlines Flight 4230	Yakovlev Yak-42	tumMaçka, Trabzon, Turkey	APR [384]	TZX	c. 23 km (14 mi)	5/26/2003
75	5	70	0		COM	Turkish Airlines Flight 634	Avro RJ100	tudiDiyarbakır, Turkey	APR [385]	DIY	0.9 km (0.56 mi)	1/8/2003
75	6	69	0		COM	Peruvian Air Force (FAP-351)	Boeing 737-282	peanAndoas, Peru	ENR [386]			5/5/1998
75	12	63	0	†	COM	Aeroflot Flight 593	Airbus A310-304	rumeznear Mezhdurechensk, Russia	ENR [388]			3/23/1994
75	3	73	0		COM	Vietnam Airlines Flight 831	Tupolev Tu-134	thlLam Luk Ka District, Thailand	APR [389]	DMK	6 km (3.7 mi)	9/9/1988
75	4	71	0		COM	Inex-Adria Aviopromet Flight 450	McDonnell Douglas DC-9-32	czPrague, Czech Republic	APR [390]	PRG	8 km (5 mi)	10/30/1975
75	6	69	0	†	COM	Avensa Flight 358	McDonnell Douglas DC-9-14	vematnear Maturín, Venezuela	ENR [391]			12/22/1974
75	4	71	0	†	COM	Southern Airways Flight 932	McDonnell Douglas DC-9-31	uswescCeredo, West Virginia, US	APR [393][394]	HTS	1.6 km (1 mi)	11/14/1970
75	8	67	0	†	INH	Air Vietnam Flight 706	Boeing 727-121C	viphnear Phan Rang, Vietnam	ICL [392]	DAD		9/15/1974
75	5	70	0	†	MIL	Sri Lanka Air Force (CR861)	Antonov An-32B	srcLaccadive Sea, off Colombo, Sri Lanka	ENR [387]			9/12/1995
74	4	70	0		COM	Hewa Bora Airways Flight 952	Boeing 727-022	demkisKisangani, DR Congo	LDG [395]	FKI	<0.1 km (0.06 mi)	7/8/2011
74	5	69	0	†	COM	Austral Líneas Aéreas Flight 2553	McDonnell Douglas DC-9-32	UrNuevo Berlín, near Fray Bentos, Uruguay	ENR [396]			10/10/1997
74	5	69	0	†	COM	Lloyd Aéreo Boliviano (CP-698)	Douglas DC-6B	bolmMt. Choquetanga, Cordillera Kimsa Cruz, Bolivia	ENR [397]			9/26/1969
74	10	64	0	†	COM	Linea Aeropostal Venezolana Flight 253	Lockheed L-1049 Super Constellation	atunNew York Bight, Atlantic Ocean, area of Jones Beach, New York, US	ENR [398]			6/20/1956
73	8	65	0		COM	Avianca Flight 52	Boeing 707-321B	usnewycoCove Neck, New York, US	APR [399][400]	JFK	c. 36 km (22 mi)	1/25/1990
73	7	66	0	†	COM	Balkan Bulgarian (LZ-TUB)	Tupolev Tu-134	bugGabare, Vratsa Province, Bulgaria	ENR [402]			3/16/1978
73	11	61	1	†	COM	Sabena Flight 548	Boeing 707-320	belgbBrussels, Belgium	APR [404]	BRU	3 km (1.9 mi)	2/15/1961
73	9	63	1		COM	Western Airlines Flight 2605	McDonnell Douglas DC-10-10	mexmMexico City, Mexico	LDG [407]	MEX	1.5 km (0.9 mi)	10/31/1979
73	25	48	0	†	INB	Cubana de Aviación Flight 455	Douglas DC-8-43	barAtlantic Ocean, off Christ Church Parish, Barbados	ENR [403]			10/6/1976
73	0	0	0	†	MIL	Ethiopian Air Force	Antonov An-26	etnear Addis Ababa, Ethiopia	UNK [401]			1/14/1982
73	0	0	0		MIL	USS *Akron*	*Akron*-class rigid airship	usnewjbAtlantic Ocean, off Barnegat Light, New Jersey, US	ENR			4/4/1933
72	9	63	0		COM	Aeroflot Flight 892	Tupolev Tu-134A	gerbBohnsdorf, Germany	APR [406]	SXF	3.5 km (2.2 mi)	12/12/1986
72	5	67	0	†	COM	Aeroflot Flight 2415	Tupolev Tu-104B	rudmDmitrovsky District, Moscow Oblast, Russia	ENR [410]			11/28/1976
72	6	66	0	†	COM	Faucett (OB-R-148)	Douglas C-54A-5-DC Skymaster	pecoCordillera Blanca, Peru	ENR [411]			12/8/1967
72	3	69	0		COM	British Midland Airways Flight (G-ALHG)	Canadair C-4 Argonaut	unestoStockport, England, UK	APR [412]	MAN	c. 9 km (5.6 mi)	6/4/1967
72	8	64	0	†	COM	ČSA Flight 511	Ilyushin Il-18V	moboBouskoura, Morocco	ENR [413]			7/12/1961
72	2	61	9		COM	Southern Airways Flight 242	McDonnell Douglas DC-9-31	usgegeNew Hope, Georgia, US	ENR [408][409]			4/4/1977
71	11	60	0	†	COM	Bashkirian Airlines Flight 2937 and DHL Flight 611	Tupolev Tu-154M and Boeing 757-23APF	geruÜberlingen, Germany	ENR [414][415] [416]			7/1/2002
71	3	68	0		COM	Cameroon Airlines Flight 3701	Boeing 737-200	camdDouala, Cameroon	APR [417]	DLA	6 km (3.7 mi)	12/3/1995
71	9	43	19	†	COM	EgyptAir Flight 864	Boeing 707-366C	thbBangkok, Thailand	APR [418]	DMK	2 km (1.2 mi)	12/25/1976
70	8	62	0	†	COM	Aerosvit Flight 241	Yakovlev Yak-42	grepPierian Mountains, Greece	ENR [419]			12/17/1997
70	9	61	0	†	COM	Aeroperú Flight 603	Boeing 757-23A	pacpPacific Ocean, area of Lima, Peru	ENR [420]			10/2/1996
70	7	63	0	†	COM	Mandala Airlines Flight 660	Vickers Viscount 816	indonaMt. Lalaboy, Ambon Island, Indonesia	APR [421]	AMQ	15 km (9.3 mi)	7/24/1992
70	4	66	0		COM	Aeroflot Flight 6502	Tupolev Tu-134A	rukurKurumoch, Samara Oblast, Russia	LDG [423]	KUF		10/20/1986
70	6	64	0	1*	COM	Galaxy Airlines Flight 203	Lockheed L-188 Electra	usnevrReno, Nevada, US	ICL [424][425]	RNO	3 km (1.9 mi)	1/21/1985
70	2	68	0		COM	Eastern Air Lines Flight 212	McDonnell Douglas DC-9-31	usnornocCharlotte, North Carolina, US	APR [426][427]	CLT	5.3 km (3.3 mi)	9/11/1974
70	5	65	0		COM	TWA Flight 128	Convair CV-880-22-1	uskeHebron, Kentucky, US	APR [428][429]	CVG	2.9 km (1.8 mi)	11/20/1967
70	3	0	67	†	MIL	Ramstein air show disaster	Aermacchi MB-339 PAN (x3)	gerrRamstein-Miesenbach, Germany	MNV [422]	RMS		8/28/1988
69	6	63	0	†	COM	Indian Airlines Flight 257	Boeing 737-2A8	indiiImphal, India	APR [430]	IMF	8 km (5 mi)	8/16/1991
69	7	62	0	†	COM	Merpati Nusantara Airlines Viscount (PK-MVS)	Vickers Viscount 828	indonpMentawai Strait, off Padang, Indonesia	ENR [432]			11/10/1971
69	9	60	0	†	COM	Fuerza Aérea Argentina (TC-48)	Douglas C-54 Skymaster	ceCentral America[nb 12]	ENR [433]			11/3/1965
