totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
180	7	173	0	†	COM	Inex-Adria Aviopromet Flight 1308	McDonnell Douglas MD-81	frac Mt. San Pietro, Petreto-Bicchisano, Corsica, France	ENR [70]			12/1/1981
178	13	165	0	†	COM	Aeroflot/Moldovia flight 7628 and Aeroflot flight 7880	Tupolev Tu-134A (both)	kasnear Dniprodzerzhynsk, Ukraine	ENR [72][73]			8/11/1979
178	5	169	4		COM	Aeroflot Flight 3352	Tupolev Tu-154	ruomsOmsk, Russia	LDG [71]	OMS		10/11/1984
177	14	162	1	†	COM	British Airways Flight 476 and Inex Adria Flight 550	Hawker Siddeley Trident 3B and Douglas DC-9-32	crvVrbovec, Croatia	ENR [74][75] [76]			9/10/1976
176	9	167	0		COM	Surinam Airways Flight 764	Douglas DC-8-62	surParamaribo, Surinam	APR [77]	PBM	3 km (1.9 mi)	6/7/1989
176	6	170	0		COM	Nigeria Airways (JY-ADO)	Boeing 707-3D3C	nigerikKano, Nigeria	LDG [78]	KAN		1/22/1973
174	10	164	0	†	COM	Aeroflot Flight 217	Ilyushin Il-62	rumosMoscow, Russia	APR [79]	SVO	11 km (6.8 mi)	10/13/1972
171	11	115	45	†	COM	Cubana de Aviación Flight 9646	Ilyushin II-62M	cuhHavana, Cuba	ICL [80]	HAV	<1.5 km (0.9 mi)	9/3/1989
170	10	160	0	†	COM	Pulkovo Flight 612	Tupolev Tu-154M	ukrnSukha Balka, Donetsk Obl., Ukraine	ENR [81]			8/22/2006
170	14	156	0	†	INB	Union de Transports Aériens Flight 772	McDonnell Douglas DC-10-30	nigeraTénéré, Niger	ENR [82][83]			9/19/1989
169	10	159	0		COM	Kenya Airways Flight 431	Airbus A310-304	cotGulf of Guinea off Côte d'Ivoire	ENR [84]	ABJ	2.8 km (1.7 mi)	1/30/2000
168	12	156	0	†	COM	Caspian Airlines Flight 7908	Tupolev Tu-154M	IraqQazvin, Iran	ENR [85]			7/15/2009
167	12	155	0	†	COM	Pakistan International Airlines Flight 268	Airbus A300B4-200	nekKathmandu, Nepal	APR [86]	KTM	20 km (12 mi)	9/28/1992
167	8	159	0	†	COM	Mexicana Flight 940	Boeing 727-264	mexs Sierra Madre Oriental Mts., Mexico	ENR [87]			3/31/1986
